"plot","row","col","rowgroup","colgroup","lin_check","leaf_dec_27","spread_dec_27","insect_score_dec_27","disease_score_dec_27","leaf_dec_27.1","spread_dec_27.1","insect_score_dec_27.1","disease_score_dec_27.1","leaf_dec_27.2","spread_dec_27.2","insect_score_dec_27.2","disease_score_dec_27.2","leaf_dec_27.3","spread_dec_27.3","insect_score_dec_27.3","disease_score_dec_27.3","leaf_dec_27.4","spread_dec_27.4","insect_score_dec_27.4","disease_score_dec_27.4","leaf_dec_27.5","spread_dec_27.5","insect_score_dec_27.5","disease_score_dec_27.5","remarks_dec_27"
32,8,3,1,3,"L101",NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,""
44,8,4,1,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
56,8,5,2,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
68,8,6,2,3,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
80,8,7,2,3,"L34",NA,NA,5,0,NA,NA,0,1,NA,NA,5,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,""
92,8,8,2,3,"L96",NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,1,NA,NA,5,1,""
104,8,9,3,3,"L67",NA,NA,10,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,2,NA,NA,10,1,"spot+"
116,8,10,3,3,"L77",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,"spot-"
128,8,11,3,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
140,8,12,3,3,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
152,8,13,4,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
164,8,14,4,3,"L9",NA,NA,5,0,NA,NA,5,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,5,2,"leaf hole"
176,8,15,4,3,"L66",NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,"no spots"
188,8,16,4,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
200,8,17,5,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
