lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
L33,ND643/2*WBLL1//ND643/2*WAXWING,1,4,3,11,,16.65437289743203,,,41,2.5,8.84,6.23,6.07,109.126696715079,95.2912303421424,95,32.566375,5.300000000000001,47.05,41.4,72,80,Before booting,Booting,Swollen boot plus,Spikes appearing,Half spikes appeared,Watery stage minus,L33,line,1,0,1,0,1.4
4,Tilottama,1,4,2,11,3.24808386904761,16.791186893250913,40.4028121015177,27.3562756512981,38,4,7.88,5.41,3.6,98.6130782687451,47.3049457090081,100,38.28012222294111,6.533333330000001,46.83333333,34.85,60,70,Half spikes appeared,Half spikes appeared,Spikes have fully emerged,Anthesis stage III,Anthesis advanced,,check,4,0,1,0,1,1.4
1,Aditya,1,4,1,11,2.45103236936312,14.399912308510638,44.8237429235425,24.8137412248756,24,6,8.13,7.48,6.24,98.7480146636104,104.670274543078,92,36.881091659635,4.466666669999999,46.36666667,14.85,66,73,Awns appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I,Anthesis stage IV,,check,1,0,1,0,1,1.4
3,Gautam,1,4,1,10,4.151428571428,18.834525668001643,36.7413271699247,24.1408081450302,29,3,8.11,7.88,5.59,122.393641312143,96.9772909833031,98,42.220625007855006,2.966666670000002,48.65,35.65,65,70,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage III,Anthesis stage IV,,check,3,0,1,0,1,1.4
L89,BECARD #1*2/KINGBIRD #1,1,4,2,10,,,,,41,3,8.84,4.37,4.31,101.059152971494,45.6204608689873,98,34.977399999999996,4.549999999999997,40.8,29.53333333,72,78,Before booting,Booting,Awns appearing,One fourth of spikes appeared,Three fourth of spikes appeared plus,Milky stage,L89,line,1,0,1,0,1.4
2,Bhrikuti,1,4,3,10,3.3149639919670904,18.887042991510686,30.6604061899301,23.2558518367602,33,3,8.2,7.56,7.25,117.206111165638,107.434486921521,90,34.178850006795,4.3333333299999985,42.25,36.1,63,72,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage II,Anthesis stage IV,,check,2,0,1,0,1,1.4
2,Bhrikuti,1,4,4,10,3.0027970305191296,20.808741156232983,39.83942951881,28.6465608550409,27,1.5,8.2,8.15,6.99,110.963862240822,115.557669603469,90,42.695835008463,6.633333330000003,42.7,49.2,68,73,Before booting,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,1.4
L57,PRL/2*PASTOR//SUNSTATE/3/MUNAL #1/4/OTUS//...,2,4,5,10,,15.905352961633303,,,31,3.5,8.67,4.87,4.85,98.9974821770354,65.5227106954275,98.5,36.407725006350006,6.600000000000001,43.55,24.93333333,71,78,Before booting,Booting,Awns appearing plus,One fourth of spikes appeared,Three fourth of spikes appeared plus,Milky stage,L57,line,1,0,1,0,2.4
4,Tilottama,2,4,6,10,2.7095684843127703,15.524102546615685,38.87477247394,27.122959833663,29,2,8.36,7.25,6.96,111.236956426347,80.9160081033043,104,38.18038334123,7.266666670000003,42.95,43.8,65,73,Awns appearing,Spikes appearing,Half spikes appeared plus,Anthesis stage I,Anthesis stage II,,check,4,0,1,0,1,2.4
4,Tilottama,2,4,7,10,3.18809554736396,19.762275677313387,40.7191833274755,29.4215118571828,30,2.5,7.89,7.16,4.9,106.894659533449,91.8069767660991,94,41.59743889031611,8.3,45.1,44.55,65,73,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III,,check,4,0,1,0,1,2.4
L94,SERI.1B*2/3/KAUZ*2/BOW/KAUZ/4/PBW343*2/...,2,4,8,10,2.07,15.402411305287615,26.9627858459757,24.2387485113599,37,2.5,8.67,3.43,1.54,97.0901743625407,21.8704840398921,99.5,39.320119999999996,9.475000000000001,37.95,37.43333333,74,84,Before booting,Booting,Booting,Swollen boot,Spikes appearing,Watery stage minus,L94,line,1,0,1,0,2.4
3,Gautam,3,4,9,10,3.01350831833353,17.748031932317627,35.508532995127,25.6916164165971,29,2,7.39,7.26,4.13,113.127271130282,79.9143635258617,96,45.129066672,9.623333330000001,43.3,35.8,68,73,Swollen boot,Awns appearing,Spikes appearing plus,Anthesis stage I,Anthesis stage IV,,check,3,0,1,0,1,3.4
L46,WBLL1* 2/BRAMBLING//SAAR/2*WAXWING/4/...,3,4,10,10,,17.10002283106224,,,39,2,7.93,4.46,3.79,89.774560037444,60.6332781715253,90,47.882175000000004,11.27,45.375,37.06666667,75,86,Before booting,Before booting,Before booting,Booting minus,Spikes appearing plus,,L46,line,1,0,1,0,3.4
L53,MUNAL #1/2*FRNCLN,3,4,11,10,,,,,28,2.5,8.67,5.89,5.65,111.218652963087,86.0743355451298,85,46.146317792441884,10.224999999999998,44.25,20.16666667,70,78,Booting,Awns appearing,Spikes appearing minus,Half spikes appeared,Anthesis stage I plus,,L53,line,1,0,1,0,3.4
1,Aditya,3,4,12,10,2.9325732399713704,13.591186229080952,47.0052099931,25.5337112246398,26,2,8.19,7.84,6.9,118.217049451397,120.516864900553,92,34.6035,10.433333329999998,47.7,45.6,68,78,Swollen boot,Spikes appearing,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage III,,check,1,0,1,0,1,3.4
4,Tilottama,4,4,13,10,3.75459652046343,15.778228075084789,34.9984412833568,27.2243404955578,51,2.5,7.99,6.61,4.79,118.618662045507,68.0179256123643,101,40.972666658672,11.26666667,44.33333333,34.45,61,70,One fourth of spikes appeared,Half spikes appeared,Spikes have fully emerged,Anthesis stage III plus,Anthesis advanced,,check,4,0,1,0,1,4.4
L82,PICAFLOR #1/NELOKI,4,4,14,10,3.62584983056892,16.775302738937324,37.9104267509559,24.3505275970853,40,0.5,8.45,4.23,3.02,98.6686327360465,62.4256206739706,111.5,43.48481945845389,12.374999999999998,43.625,44.23333333,75,86,Before booting,Before booting,Before booting,Before booting,Before booting,,L82,line,1,0,1,0,4.4
2,Bhrikuti,4,4,15,10,3.94243169968715,18.08487103284404,43.975397042855,28.4499923525919,28,2.5,8.19,6.36,6.09,116.337351126512,74.7203160490134,102,45.227022225031114,12.033333329999998,41.26666667,32.95,63,73,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage I,Anthesis advanced,,check,2,0,1,0,1,4.4
L62,PASTOR/3/VORONA/CN079//KAUZ/4/MILAN/OTUS//...,4,4,16,10,1.9934650812937802,16.94261720814292,40.8299641614548,25.0079970011762,26,2.5,8.6,5.97,4.66,108.391277595732,79.0027936821315,99.5,46.75110000000001,11.874999999999998,47,40.5,74,84,Before booting,Before booting,Booting minus,Swollen boot,Spikes appearing,,L62,line,1,0,1,0,4.4
1,Aditya,5,4,17,10,4.79508313469269,14.583071297455595,33.802475369446,28.0264488769367,44,2,8.16,7.88,6.81,126.019357878602,95.8666774417808,102,47.94454721989611,11.033333329999998,49.1,26.55,68,77,Swollen boot,Spikes appearing,Spikes appearing plus,Three fourth of spikes appeared plus,Anthesis stage III,,check,1,0,1,0,1,5.4
