lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
3,Gautam,5,1,18,1,3.25548745985399,17.716269951582998,36.0908855040653,26.187272673723,26,3,8.09,7.88,6.75,107.219297978362,91.2029041965464,108,50.23222222581111,9.43333333,43.26666667,38.7,70,78,Swollen boot minus,Swollen boot minus,Awns appearing plus,One fourth of spikes appeared,Spikes have fully emerged minus,,check,3,0,1,0,1,5.1
L86,MUNAL #1*2/4/HUW234+LR34/PRINIA//PBW343*2/...,5,1,17,1,4.146378812199,15.652974968023129,41.5952554716785,25.9829107223151,26,7,7.79,5.66,4.09,104.496879051528,92.1898612257434,92.5,27.6,9.925,41.425,25.3,67,78,Awns appearing,Spikes appearing,Spikes appearing plus,Three fourth of spikes appeared,Spikes have fully emerged plus,Watery stage minus,L86,line,1,0,1,0,5.1
2,Bhrikuti,4,1,16,1,3.1151081640602998,15.084325848180713,37.1813783956316,25.0042397601795,27,6,8.45,6.21,5.66,109.190756895074,91.9114172324327,89.5,32.14888888701111,9.5,44.26666667,36.5,66,73,Swollen boot,One fourth of spikes appeared,Half spikes appeared plus,Anthesis stage I,Anthesis stage IV,,check,2,0,1,0,1,4.1
L22,BETTY/3/CHEN/AE.SQ//2*OPATA/4/BAVIS,4,1,15,1,3.20109230524647,18.01086534944372,41.5112531723123,24.742281706632,29,7,8.13,4.77,4.49,103.750755647425,58.2254944519353,101.5,36.53125,9.499999999999897,42.1,34.4,70,78,Booting,Swollen boot minus,Spikes appearing minus,One fourth of spikes appeared,Three fourth of spikes appeared,Milky stage,L22,line,1,0,1,0,4.1
4,Tilottama,4,1,14,1,3.23638402341912,16.45916486678371,28.1365473226255,26.9652990845855,28,6,7.99,6.93,5.04,109.966750125835,91.9462684738139,99,36.973125,9.899999999999999,47.23333333,36.9,63,72,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV minus,,check,4,0,1,0,1,4.1
L54,MUNAL #1/2*FRNCLN,4,1,13,1,2.89089158516523,17.523955619176608,36.8942643975076,29.1821801416102,34,4,7.9,5.57,5.04,100.171886175939,67.4831972657847,91.5,31.399999995,9.5333333333333,50.05,38.3,75,85,Before booting,Before booting,Before booting,Booting,Swollen boot,Watery stage minus,L54,line,1,0,1,0,4.1
L60,LERKE/5/KAUZ/3/MYNA/VUL//BUC/FLK/4/MILAN/6/...,3,1,12,1,2.17480570413644,16.508052688768583,54.5061391916372,25.1171671825248,24,5,8.13,5.66,4.89,93.4273555505515,95.8631725672468,99,51.328125,8.966666666666601,48.8,35.93333333,75,85,Before booting,Before booting,Before booting,Booting,Booting plus,Late anthesis,L60,line,1,0,1,0,3.1
L55,MUNAL #1*2//WHEAR/SOKOLL,3,1,11,1,2.71947185498764,13.875990508325017,45.8467582771992,24.9144875120017,31,3,8.14,3.99,3.53,88.1691548416708,51.7409150751188,94,38.323750000000004,9.825,42.65,29.7,74,84,Before booting,Before booting,Booting,Swollen boot,Swollen boot plus,Late anthesis,L55,line,1,0,1,0,3.1
4,Tilottama,3,1,10,1,4.2847465900256,16.338200603173142,33.3550751198,28.9277855385124,46,4,8.27,6.53,6.49,117.741006137507,84.7942302142704,101,31.632222221211112,9.1000000033333,47.56666667,25.95,66,73,Awns appearing,Spikes appearing plus,Half spikes appeared minus,Anthesis stage I,Anthesis stage II,,check,4,0,1,0,1,3.1
2,Bhrikuti,3,1,9,1,3.42901288637629,17.636444372272734,32.3268327348077,25.732540695068,29,2,8.2,7.56,6.4,106.007301786649,89.0056691722235,105,42.1199999919,9.1666666666666,42.96666667,36.2,67,78,Swollen boot,Spikes appearing,One fourth of spikes appeared minus,Three fourth of spikes appeared,Anthesis stage II minus,,check,2,0,1,0,1,3.1
L56,MUNAL #1*2/KINGBIRD #1,2,1,8,1,4.39140797318838,14.522950604987674,46.4806705553457,27.9903563516027,32,6,8.25,4.06,3.76,96.4184327402047,53.1349772157801,93,29.058749999999996,10.649999999999999,47.35,43.5,73,80,Before booting,Booting,Swollen boot minus,Spikes appearing,Half spikes appeared,Watery stage,L56,line,1,0,1,0,2.1
L1,MUNAL #1,2,1,7,1,4.07070011057605,16.6484982727997,35.8648636386897,28.8258176534435,27,4,8.13,5.63,5.42,111.314231134253,68.272357707656,107.5,41.51875,11.275000000000002,48.3,43.76666667,74,85,Before booting,Before booting,Booting,Booting,Spikes appearing minus,Late anthesis,L1,line,1,0,1,0,2.1
1,Aditya,2,1,6,1,3.5565788115251404,16.046113387665276,33.23616634,27.5342609856075,33,3,8.44,6.85,6.62,106.932438930033,91.1420181400676,108,28.500000005700006,8.80833333,46.56666667,41.3,67,77,Swollen boot,Swollen boot plus,One fourth of spikes appeared minus,Three fourth of spikes appeared plus,Anthesis stage II minus,,check,1,0,1,0,1,2.1
4,Tilottama,2,1,5,1,3.10995257529051,15.495815045597043,36.8670674788424,27.0921645788849,30,3,7.97,6.21,4.54,114.12229592235,72.4249104306239,99,41.1666666749,8.7,43.36666667,25.6,63,73,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared,Anthesis stage I,Anthesis stage III,,check,4,0,1,0,1,2.1
1,Aditya,1,1,4,1,2.39134697454551,13.374372247116064,38.0544514051189,29.091896549368,20,4,8.28,8.15,6.71,112.515612609449,100.054123630709,95,33.300000000000004,7.55833333,46.53333333,30.7,67,78,Swollen boot,Awns appearing plus,One fourth of spikes appeared minus,Three fourth of spikes appeared,Anthesis stage I,,check,1,0,1,0,1,1.1
3,Gautam,1,1,3,1,3.8895634469914198,19.210878899263378,35.1479887972029,28.2355728418741,29,4,8.16,7.65,6.18,123.052093613335,102.648329620807,102,33.500000006700006,8.283333329999998,47.66666667,35.7,66,72,Awns appearing,Awns appearing plus,One fourth of spikes appeared,Anthesis stage II,Anthesis stage III,,check,3,0,1,0,1,1.1
2,Bhrikuti,1,1,2,1,3.3678754092948298,19.30040119392514,35.9116238322345,27.3675404500693,29,3,8.47,6.45,6.38,111.064063170923,96.2561444271814,92,30.002222220811113,8.341666670000002,46.5,37.4,64,72,Spikes appearing,Spikes appearing plus,Half spikes appeared,Anthesis stage II,Anthesis stage IV plus,,check,2,0,1,0,1,1.1
L20,WBLL1*2/BRAMBLING/5/BABAX/LR42//BABAX*2/4/...,1,1,1,1,,,,,26,6,8.59,5.77,5.56,112.879796512153,78.6462427906503,93,35.803125,7.949999999999999,44.625,32.93333333,70,78,Booting,Swollen boot minus,Awns appearing plus,One fourth of spikes appeared minus,Spikes have fully emerged minus,Watery stage plus,L20,line,1,0,1,0,1.1
